kakenhi_code	name_ja	url	name_en
27601	宮崎公立大学	https://www.miyazaki-mu.ac.jp/	Miyazaki Municipal University
27602	宮崎県立看護大学	https://www.mpu.ac.jp/	Miyazaki Prefectural Nursing University
28001	沖縄県立芸術大学	https://www.okigei.ac.jp/	Okinawa Prefectural University of Arts
28002	沖縄県立看護大学	https://www.fs-okinawa.com/	Okinawa Prefectural College of Nursing
28003	名桜大学	https://www.meio-u.ac.jp/	Meio University
30101	旭川大学	https://www.asahikawa-u.ac.jp/	Asahikawa University Junior College
30102	札幌大学	https://www.sapporo-u.ac.jp/	Sapporo University
30103	札幌学院大学	https://www.sgu.ac.jp/	Sapporo Gakuin University
30104	函館大学	https://www.hakodate-u.ac.jp/	Hakodate University
30105	藤女子大学	https://www.fujijoshi.ac.jp/	Fuji Women's University
30106	北星学園大学	https://www.hokusei.ac.jp/	Hokusei Gakuen University
30107	北海学園大学	https://www.hgu.jp/	Hokkai Gakuen University
30108	北海道科学大学	https://www.hus.ac.jp/	{text-align:center;line-height:1}@media print,screen and (min-width:769px){.SiteFooter__copyright{margin-top:40px;padding-bottom:40px}}@media screen and (max-width:768px){.SiteFooter__copyright{margin
30109	酪農学園大学	https://www.rakuno.ac.jp/	Rakuno Gakuen University
30110	北海道医療大学	https://www.hoku-iryo-u.ac.jp/	Health Sciences University of Hokkaido
30112	北海商科大学	https://www.hokkai.ac.jp/	JIHEE (Japan Institution for Higher Education Evaluation) since 2004 Ⅱ UNIVERSITY
30114	星槎道都大学	https://www.seisadohto.ac.jp/	Seisa Dohto University
30115	北海道情報大学	https://www.do-johodai.ac.jp/	Hokkaido Information University
30116	札幌国際大学	https://www.siu.ac.jp/	Sapporo International University
30117	北翔大学	https://www.hokushoedu.com/	Hokusho University
30119	北洋大学	https://www.hokuyo.ac.jp/	History of Peiyang University
30120	日本赤十字北海道看護大学	https://www.rchokkaido-cn.ac.jp/	Japanese Red Cross Hokkaido College of Nursing
